                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5439,                 6.7258,                 2.4282,                      0,                      0,                      0,                      0,                 2.9418,                 5.7641,                 1.8353,              3.915e-05,              3.915e-05,              3.915e-05
                      2,                 2.9675,                 5.6379,                 2.0056,                 0.0027,                0.08548,                0.00365,                0.00073,                 2.2622,                 4.9934,                 1.6995,             8.1014e-05,             8.1014e-05,             8.1014e-05
                      3,                 2.4353,                 5.0913,                 1.8224,                  0.002,                0.09677,                 0.0052,                0.00142,                 2.1173,                 4.6699,                 1.5951,             0.00012115,             0.00012115,             0.00012115
                      4,                  2.132,                 4.6489,                 1.6737,                0.17081,                0.55652,                0.22972,                0.14915,                 1.9049,                 4.1059,                 1.5058,             0.00015957,             0.00015957,             0.00015957
                      5,                 1.8727,                 4.0557,                 1.5465,                0.74218,                0.20503,                0.28419,                0.17499,                 1.9035,                 3.2534,                 1.5213,             0.00019627,             0.00019627,             0.00019627
                      6,                 1.7553,                 3.3578,                 1.4691,                  0.584,                 0.4773,                0.44645,                0.24365,                 1.7319,                 2.2858,                  1.393,             0.00023124,             0.00023124,             0.00023124
                      7,                  1.736,                 2.8082,                 1.4438,                0.54945,                 0.5659,                0.52667,                0.29003,                 1.7049,                 2.6981,                 1.4035,             0.00026449,             0.00026449,             0.00026449
                      8,                 1.6883,                 2.3406,                 1.4441,                0.49605,                0.67776,                0.55383,                0.29663,                 1.7317,                 5.3701,                 1.4405,             0.00029602,             0.00029602,             0.00029602
                      9,                 1.6899,                 2.2065,                 1.4467,                0.55533,                0.69995,                0.60191,                0.32258,                  1.635,                 4.0778,                 1.3879,             0.00032583,             0.00032583,             0.00032583
                     10,                 1.6281,                 1.9677,                   1.43,                0.59349,                0.68994,                0.61754,                0.33554,                 1.6224,                 2.5904,                 1.3651,             0.00035391,             0.00035391,             0.00035391
                     11,                 1.5083,                 1.8528,                 1.3815,                0.66134,                0.74966,                0.68342,                0.38238,                 1.5074,                 1.7928,                   1.32,             0.00034887,             0.00034887,             0.00034887
                     12,                 1.5236,                 1.7146,                 1.3663,                0.78301,                0.78241,                0.80684,                0.46824,                 1.4032,                 1.4316,                 1.2843,             0.00034026,             0.00034026,             0.00034026
                     13,                 1.4748,                 1.6609,                 1.3446,                0.80365,                0.79539,                0.84792,                0.49755,                 1.4486,                 1.3488,                 1.2589,             0.00033164,             0.00033164,             0.00033164
                     14,                 1.4799,                 1.5701,                 1.3183,                0.84471,                0.82098,                0.86603,                0.52946,                 1.3402,                 1.2633,                   1.23,             0.00032303,             0.00032303,             0.00032303
                     15,                 1.4055,                 1.5049,                 1.3004,                0.84201,                0.83406,                0.87781,                0.54487,                 1.3136,                 1.2058,                 1.2235,             0.00031442,             0.00031442,             0.00031442
