                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1336,                  7.443,                 1.0541,                      0,                      0,                      0,                      0,                 1.9688,                 6.9638,                 1.0199,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.9987,                 5.7649,                 1.0117,                0.60563,                0.16475,                 0.4024,                0.22617,                 1.8669,                 6.5513,                0.98066,             0.00016173,             0.00016173,             0.00016173
                      3,                 1.9702,                 5.1993,                 1.0027,                0.27687,                0.58238,                0.51724,                0.23764,                  1.873,                 5.8672,                0.97188,              0.0002401,              0.0002401,              0.0002401
                      4,                 1.8689,                 4.7836,                 1.0035,                0.25478,                0.76628,                0.60084,                0.32037,                 1.6647,                 5.3672,                0.95724,              0.0003151,              0.0003151,              0.0003151
                      5,                  1.974,                 4.9403,                 1.0107,                0.94591,                0.20103,                0.59341,                0.32093,                 1.6459,                 4.6174,                0.92772,             0.00038674,             0.00038674,             0.00038674
                      6,                 1.8357,                 4.3288,                0.98795,                0.89335,                0.32095,                0.60454,                0.33089,                 1.6825,                 4.2891,                 0.9275,              0.0004505,              0.0004505,              0.0004505
                      7,                 1.7109,                   3.82,                0.96643,                0.80225,                0.50192,                0.73312,                 0.3954,                  1.601,                 3.5283,                  0.919,              0.0004406,              0.0004406,              0.0004406
                      8,                 1.7809,                 3.9198,                0.97746,                0.71352,                0.62452,                0.73403,                0.40484,                 1.5842,                 3.2442,                0.92655,              0.0004307,              0.0004307,              0.0004307
                      9,                  1.757,                 3.5391,                0.96484,                0.74328,                0.68777,                0.78386,                0.42893,                 1.5492,                 2.9356,                0.92726,              0.0004208,              0.0004208,              0.0004208
                     10,                 1.7545,                 3.6315,                0.95209,                0.77798,                0.54023,                0.68819,                0.37784,                 1.5469,                 3.0428,                0.92169,              0.0004109,              0.0004109,              0.0004109
